regime,optimized,degree,k,m,prover_ms,verifier_ms,proof_bytes
amort,opt,1,2,128,163.691028,10.086986,6142
amort,opt,1,4,128,172.973903,10.530208,6278
amort,opt,1,8,128,185.907153,11.106639,6414
amort,opt,1,16,128,196.916097,12.046167,6550
amort,opt,1,32,128,209.569667,13.316416,6686
amort,opt,1,64,128,227.377125,15.572833,6822
amort,opt,1,128,128,261.533292,21.112958,6958
comp,opt,1,128,2,12.503431,10.257917,1516
comp,opt,1,128,4,16.269569,11.058555,1815
comp,opt,1,128,8,22.105166,11.212917,2178
comp,opt,1,128,16,35.670583,12.084194,2669
comp,opt,1,128,32,63.209125,13.196972,3416
comp,opt,1,128,64,123.234708,15.925389,4675
comp,opt,1,128,128,259.609444,21.028861,6958
amort,opt,2,2,128,255.841667,11.083291,6661
amort,opt,2,4,128,275.353333,11.076903,6829
amort,opt,2,8,128,296.722250,11.495236,6997
amort,opt,2,16,128,316.700820,12.413500,7165
amort,opt,2,32,128,339.945681,13.784361,7333
amort,opt,2,64,128,369.805875,16.057292,7501
amort,opt,2,128,128,414.932056,21.088028,7669
comp,opt,2,128,2,15.150723,11.306792,1837
comp,opt,2,128,4,19.979903,10.780250,2201
comp,opt,2,128,8,31.794653,11.675222,2629
comp,opt,2,128,16,54.915681,12.293583,3185
comp,opt,2,128,32,103.478319,13.551778,3997
comp,opt,2,128,64,201.982556,16.319792,5321
comp,opt,2,128,128,413.998944,21.587847,7669
amort,opt,4,2,128,516.143194,11.308542,7699
amort,opt,4,4,128,563.684486,11.580000,7931
amort,opt,4,8,128,613.361264,12.076069,8163
amort,opt,4,16,128,662.988361,12.989014,8395
amort,opt,4,32,128,717.254944,13.967694,8627
amort,opt,4,64,128,788.094139,16.577111,8859
amort,opt,4,128,128,878.070875,21.833680,9091
comp,opt,4,128,2,20.485597,10.946792,2479
comp,opt,4,128,4,33.824931,11.613778,2973
comp,opt,4,128,8,59.553375,11.751931,3531
comp,opt,4,128,16,111.536903,12.836875,4217
comp,opt,4,128,32,216.945514,14.096889,5159
comp,opt,4,128,64,429.011125,16.938611,6613
comp,opt,4,128,128,879.169667,21.568431,9091
